variable,model,date,scenario,season,value
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,year,2.540414175
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,DecFeb,2.5864399614000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,MarMay,2.36281194
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,JunAug,2.4663519450000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,SepNov,2.6373825324000006
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,year,2.4445031120000005
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,DecFeb,2.965383182499999
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,MarMay,1.9750941859999998
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,JunAug,2.718418484
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,SepNov,2.2180356100000003
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,year,3.24145376
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,DecFeb,3.5417253084999993
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,MarMay,2.9354140274999994
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,JunAug,3.0885427899999995
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,SepNov,3.2823538384999997
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,year,2.7454764725000005
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,DecFeb,2.4462324961500004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,MarMay,2.5246128419999994
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,JunAug,3.0740080364999995
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,SepNov,2.8401356974999996
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,year,3.598283
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,DecFeb,2.914164193999999
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,MarMay,3.5449020499999997
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,JunAug,3.83710493
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,SepNov,3.72652971
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,year,3.9395257349999993
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,DecFeb,3.69196326
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,MarMay,3.359695002
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,JunAug,4.261934385000001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,SepNov,4.12861455
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,year,4.642496505
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,DecFeb,5.027754032500001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,MarMay,4.364884365
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,JunAug,4.781473035
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,SepNov,4.3345230235
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,year,5.10141782
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,DecFeb,5.114207678500001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,MarMay,4.427983670000001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,JunAug,5.463792249999999
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,SepNov,5.289547635000002
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,year,4.283351844999999
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,DecFeb,4.4530408421052625
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,MarMay,3.8509333230000005
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,JunAug,4.6071772300000005
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,SepNov,4.003603225
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,year,6.037672089999999
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,DecFeb,5.98788694736842
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,MarMay,5.48373609
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,JunAug,6.539622514999998
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,SepNov,6.071695455000001
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,year,9.03298961
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,DecFeb,10.190162263157895
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,MarMay,8.026245475
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,JunAug,9.029461425000003
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,SepNov,8.583040195000002
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,year,10.561869624999998
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,DecFeb,11.761462763157894
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,MarMay,9.43121516
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,JunAug,11.3336104
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,SepNov,9.700941789999998
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,year,1.7433657999999994
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,DecFeb,1.585484065
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,MarMay,1.2739366058850001
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,JunAug,1.8582468900000002
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,SepNov,1.9002115725
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,year,2.0324675455
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,DecFeb,2.9843523025
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,MarMay,1.7027975450000004
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,JunAug,1.831700884
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,SepNov,1.49667798175
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,year,1.9677847124999999
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,DecFeb,3.1468904290000004
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,MarMay,1.2252272127500001
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,JunAug,1.72245879355
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,SepNov,1.8471911955
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,year,2.7537590625000004
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,DecFeb,3.8085146750000005
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,MarMay,2.444181298
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,JunAug,2.2703874999999996
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,SepNov,2.327488954
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,year,1.7650048054999998
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,DecFeb,2.5498106935
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,MarMay,0.7175917077899999
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,JunAug,1.9643980320000005
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,SepNov,1.953725782
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp245,year,2.6184190569999997
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp245,DecFeb,3.2831651268499997
