variable,model,date,scenario,season,value
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp26,year,1.0231433404999999
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp26,DecFeb,0.7401853952
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp26,MarMay,1.296863739
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp26,JunAug,1.1134838144999997
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp26,SepNov,0.9603892084999999
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp45,year,
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp85,year,0.8453375344999999
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp85,DecFeb,0.31865210279999995
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp85,MarMay,0.853945532
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp85,JunAug,1.1617294496
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2021,rcp85,SepNov,1.0509331655
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2041,rcp26,year,1.1546627459999999
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2041,rcp26,DecFeb,0.8529993824999998
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2041,rcp26,MarMay,1.363210804
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2041,rcp26,JunAug,1.3352269384999995
tas,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,2041,rcp26,SepNov,0.9560361439999999
