variable,model,date,scenario,season,value
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,year,2.361291864999999
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,DecFeb,2.4062803632999996
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,MarMay,2.2941253040000005
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,JunAug,2.2805341329999997
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,SepNov,2.5105353549999996
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,year,2.5139023949999997
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,DecFeb,2.9108057895000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,MarMay,2.2155472747499996
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,JunAug,2.4476342700000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,SepNov,2.5921652165
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,year,2.7724595680000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,DecFeb,2.8392073909999995
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,MarMay,2.6852233599999993
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,JunAug,2.6205866699999993
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,SepNov,2.7566021450000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,year,2.72418485
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,DecFeb,2.842053935
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,MarMay,2.09605800765
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,JunAug,2.93887566
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,SepNov,2.804988145
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,year,3.1797210350000005
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,DecFeb,3.116163106
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,MarMay,2.5990424500000002
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,JunAug,3.3985405599999994
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,SepNov,3.2619636650000006
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,year,3.64726622
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,DecFeb,3.7677140300000005
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,MarMay,3.1193036199999997
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,JunAug,3.7581159650000004
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,SepNov,3.904907745
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,year,4.193948245
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,DecFeb,4.370217655
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,MarMay,3.768874894999999
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,JunAug,4.319305815
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,SepNov,4.235679565
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,year,4.618142850000001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,DecFeb,5.003321515000001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,MarMay,4.0008538399999996
